0,1,2
_,a,3
_,b,5
_,c,5
_,d,4
_,e,3
_,f,4
_,g,1
_,h,1
_,i,4
_,j,6
_,k,4
_,l,2
_,m,4
_,n,2
_,o,7
_,p,6
_,r,5
_,s,7
_,t,2
_,v,3
_,w,3
_,x,2
_,z,1
_,в,1
_,р,1
a,_,31
a,a,115245
a,b,30879
a,c,5349
a,d,78707
a,e,12183
a,f,3831
a,g,19733
a,h,9713
a,i,27285
a,j,30936
a,k,46761
a,l,174168
a,m,64905
a,n,126211
a,o,4089
a,p,19531
a,q,207
a,r,76001
a,s,149715
a,t,104816
a,u,23559
a,v,40244
a,w,885
a,x,381
a,y,2027
a,z,869
a,²,1
a,¹,2
a,ß,30
a,á,1
a,ä,54
a,å,1
a,ç,16
a,é,12
a,ë,57
a,í,25
a,î,4
a,ï,19
a,ð,1
a,ñ,7
a,õ,776
a,ö,31
a,ú,12
a,ü,886
a,ć,3
a,č,10
a,ğ,2
a,ķ,1
a,ļ,3
a,ł,45
a,ń,76
a,ņ,10
a,ō,1
a,ř,3
a,ś,12
a,ş,48
a,š,227
a,ţ,10
a,ŭ,5
a,ż,2
a,ž,284
a,ș,7
a,ɪ,1
a,ˌ,3
a,ː,1
a,ḩ,59
a,ṁ,1
a,ṃ,2
a,ṇ,3
a,ṭ,2
a,ẖ,5
a,ﬀ,1
a,ﬁ,1
b,_,1
b,a,30344
b,b,920
b,c,112
b,d,193
b,e,30495
b,f,25
b,g,20
b,h,402
b,i,17495
b,j,868
b,k,256
b,l,6065
b,m,288
b,n,1556
b,o,9912
b,p,68
b,r,17575
b,s,997
b,t,236
b,u,12457
b,v,20
b,w,31
b,x,4
b,y,1084
b,z,69
b,à,3
b,á,46
b,â,9
b,ä,1474
b,å,10
b,æ,5
b,è,2
b,é,99
b,ì,3
b,í,4
b,î,1
b,ò,4
b,ó,11
b,ô,3
b,õ,48
b,ö,287
b,ø,37
b,ù,1
b,ú,1
b,ü,1252
b,ý,1
b,ā,122
b,ă,20
b,ą,1
b,č,3
b,ē,27
b,ė,2
b,ę,2
b,ě,10
b,ī,13
b,ı,1
b,ł,6
b,ō,13
b,ř,6
b,š,11
b,ū,11
b,ų,1
b,ž,2
b,ɑ,1
b,ə,2
b,ʿ,1
b,т,5
b,ṛ,3
b,ạ,1
b,ả,6
b,ắ,1
b,ộ,1
b,戦,1
c,_,4
c,a,12775
c,b,73
c,c,854
c,d,992
c,e,5191
c,f,54
c,g,63
c,h,18394
c,i,4257
c,j,12
c,k,5033
c,l,2871
c,m,1699
c,n,144
c,o,12018
c,p,176
c,q,217
c,r,2889
c,s,410
c,t,2036
c,u,2290
c,v,78
c,w,23
c,x,7
c,y,806
c,z,352
c,²,1
c,à,1
c,á,37
c,â,2
c,ã,2
c,ä,7
c,æ,4
c,è,4
c,é,86
c,í,18
c,î,1
c,ó,31
c,ô,26
c,õ,1
c,ö,3
c,ā,5
c,ă,15
c,ą,1
c,ē,29
c,ę,1
c,ī,17
c,ı,3
c,ł,9
c,œ,4
c,ţ,1
c,ə,1
c,ˌ,3
c,γ,2
c,к,2
c,о,1
c,т,2
c,ộ,6
c,ủ,1
d,_,13
d,a,79011
d,b,364
d,c,144
d,d,1258
d,e,70242
d,f,225
d,g,611
d,h,759
d,i,56027
d,j,1279
d,k,728
d,l,2739
d,m,4001
d,n,1490
d,o,12684
d,p,196
d,q,26
d,r,14231
d,s,2690
d,t,1352
d,u,36858
d,v,1065
d,w,626
d,x,38
d,y,696
d,z,501
d,¹,3
d,à,4
d,á,27
d,â,4
d,ã,2
d,ä,46
d,å,2
d,æ,19
d,è,4
d,é,139
d,ë,1
d,ì,1
d,í,19
d,î,2
d,ð,1
d,ò,1
d,ó,55
d,ô,1
d,õ,88
d,ö,97
d,ø,24
d,ú,6
d,û,3
d,ü,821
d,ā,56
d,ă,1
d,ą,3
d,č,1
d,ē,4
d,ę,4
d,ě,9
d,ī,75
d,ı,14
d,ł,2
d,ō,42
d,ő,1
d,ř,9
d,ś,1
d,š,4
d,ū,8
d,ů,1
d,ų,1
d,ź,20
d,ż,2
d,ž,1023
d,ǎ,2
d,ǐ,1
d,ɑ,1
d,ˌ,3
d,θ,1
d,φ,1
d,ω,1
d,ḩ,1
d,ậ,1
d,ụ,3
e,_,17
e,a,11556
e,b,13081
e,c,3163
e,d,55799
e,e,84855
e,f,2471
