0,1,2
_,a,6
_,b,1
_,c,1
_,e,4
_,f,4
_,g,1
_,h,1
_,i,10
_,j,3
_,k,5
_,l,1
_,m,8
_,n,2
_,o,5
_,p,5
_,q,1
_,r,1
_,s,5
_,t,7
_,u,1
_,v,4
_,x,1
a,_,63
a,a,116356
a,b,28245
a,c,5124
a,d,75640
a,e,11947
a,f,4759
a,g,18828
a,h,9390
a,i,27245
a,j,32702
a,k,47204
a,l,172427
a,m,62592
a,n,137541
a,o,3614
a,p,17998
a,q,229
a,r,82540
a,s,142752
a,t,98378
a,u,26366
a,v,41098
a,w,748
a,x,535
a,y,1563
a,z,950
a,¹,1
a,ß,19
a,ä,51
a,å,1
a,ç,12
a,é,8
a,ë,59
a,í,10
a,î,1
a,ï,43
a,ð,2
a,ñ,18
a,õ,712
a,ö,35
a,ø,2
a,ú,21
a,ü,866
a,ć,8
a,č,19
a,đ,2
a,ğ,6
a,ģ,1
a,ļ,2
a,ł,87
a,ń,108
a,ņ,5
a,ň,1
a,ŗ,3
a,ř,5
a,ś,10
a,ş,24
a,š,292
a,ţ,36
a,ŭ,2
a,ź,1
a,ż,5
a,ž,385
a,ǔ,4
a,ǧ,1
a,ș,7
a,ț,1
a,ɣ,3
a,ɫ,1
a,ʀ,1
a,ː,2
a,ˮ,2
a,в,1
a,л,3
a,м,1
a,р,1
a,с,1
a,я,1
a,ḑ,2
a,ḩ,35
a,ṇ,5
a,ṣ,1
a,ẕ,2
a,ẖ,5
b,_,3
b,a,32164
b,b,794
b,c,108
b,d,160
b,e,34756
b,f,42
b,g,24
b,h,207
b,i,16697
b,j,1038
b,k,200
b,l,5243
b,m,283
b,n,1630
b,o,10033
b,p,88
b,q,2
b,r,19288
b,s,1051
b,t,416
b,u,10857
b,v,41
b,w,35
b,x,2
b,y,967
b,z,22
b,à,6
b,á,73
b,â,1
b,ä,922
b,å,51
b,æ,24
b,è,5
b,é,151
b,ê,2
b,ë,1
b,ì,6
b,í,4
b,ï,1
b,ó,25
b,õ,82
b,ö,706
b,ø,84
b,ú,3
b,ü,1536
b,ý,1
b,ā,140
b,ă,16
b,ą,1
b,ć,1
b,č,25
b,ē,35
b,ę,4
b,ě,3
b,ī,9
b,ļ,1
b,ł,14
b,ō,5
b,ő,1
b,œ,3
b,ř,2
b,š,3
b,ū,9
b,ŷ,1
b,ž,2
b,ə,5
b,α,1
b,д,1
b,е,1
b,т,2
b,ә,1
b,ả,2
b,ầ,3
b,ẽ,2
b,ồ,1
c,_,4
c,a,11600
c,b,63
c,c,947
c,d,697
c,e,4919
c,f,75
c,g,43
c,h,20098
c,i,4153
c,j,35
c,k,4826
c,l,2734
c,m,1078
c,n,102
c,o,11611
c,p,44
c,q,241
c,r,2619
c,s,533
c,t,2285
c,u,2468
c,v,66
c,w,10
c,x,4
c,y,816
c,z,486
c,²,1
c,à,4
c,á,23
c,â,9
c,ã,4
c,ä,14
c,æ,4
c,è,2
c,é,71
c,í,15
c,ó,31
c,ô,25
c,ö,6
c,ú,1
c,ü,3
c,ā,15
c,ă,16
c,ē,23
c,ė,1
c,ę,4
c,ī,11
c,ı,5
c,ķ,1
c,ł,8
c,œ,13
c,ş,1
c,ū,1
c,ư,1
c,ə,4
c,а,2
c,б,1
c,е,6
c,к,2
c,о,1
c,п,1
c,с,1
c,т,4
c,я,1
c,ả,1
c,ộ,1
d,_,23
d,a,73550
d,b,307
d,c,150
d,d,1256
d,e,69529
d,f,325
d,g,463
d,h,498
d,i,55960
d,j,1287
d,k,664
d,l,4603
d,m,4034
d,n,1585
d,o,12203
d,p,230
d,q,3
d,r,15378
d,s,2684
d,t,1259
d,u,37380
d,v,1459
d,w,718
d,x,27
d,y,714
d,z,514
d,à,3
d,á,31
d,ã,1
d,ä,65
d,å,1
d,æ,13
d,è,8
d,é,135
d,í,33
d,ó,79
d,ô,1
d,õ,122
d,ö,126
d,ø,85
d,ú,5
d,ü,794
d,ý,3
d,ā,27
d,ă,7
d,ą,5
d,ē,2
d,ę,6
d,ě,12
d,ī,27
d,ı,10
d,ł,6
d,ņ,1
d,ō,24
d,ő,1
d,ř,8
d,š,5
d,ũ,3
d,ū,3
d,ű,3
d,ź,8
d,ż,2
d,ž,865
d,ǎ,2
d,ə,7
d,ʒ,1
d,ˮ,7
e,_,10
e,a,13285
e,b,13461
e,c,2954
e,d,56530
e,e,106336
e,f,2482
e,g,25222
e,h,16876
e,i,35626
e,j,6798
e,k,44484
e,l,124373
e,m,56751
e,n,92693
e,o,5529
e,p,9596
e,q,117
e,r,91688
e,s,135800
e,t,83165
e,u,10118
e,v,30140
e,w,1159
e,x,2097
e,y,2085
e,z,576
e,ß,18
e,á,1
e,ä,160
e,å,48
e,æ,1
e,ç,1
e,é,1
e,ï,1
e,ð,6
e,ñ,25
e,ó,9
e,õ,236
e,ö,45
e,ø,9
e,û,1
e,ü,509
e,ă,2
e,ć,2
e,č,9
e,đ,1
e,ğ,1
e,ģ,2
e,ķ,8
e,ļ,3
e,ł,13
e,ń,23
e,ň,2
e,ř,1
e,ś,20
e,ş,4
e,š,105
e,ţ,1
e,ŭ,1
e,ż,4
e,ž,434
e,ș,5
e,ɪ,1
e,ː,3
e,ˮ,3
e,δ,2
e,ḩ,1
e,ẕ,1
f,_,4
f,a,6447
f,b,87
f,c,2271
f,d,58
f,e,6194
f,f,2022
f,g,39
f,h,75
f,i,20124
f,j,1269
f,k,180
f,l,2812
f,m,194
f,n,242
f,o,11402
f,p,25
f,q,4
f,r,10871
f,s,417
f,t,1313
f,u,1761
f,v,151
f,w,47
f,x,11
f,y,114
f,z,11
f,à,7
f,á,28
f,ä,315
f,å,24
f,æ,10
f,è,9
f,é,91
f,ê,4
f,ë,1
f,í,12
f,ó,8
f,õ,2
f,ö,492
f,ø,33
f,ù,2
f,ú,10
f,ü,2689
f,þ,1
f,ā,11
f,ē,5
f,ī,9
f,ı,1
f,ō,1
f,ő,1
f,š,1
f,ū,2
f,ə,4
f,ọ,1
g,_,38
g,a,51162
