0,1,2
_,_,1
_,a,4
_,b,4
_,c,3
_,d,2
_,e,2
_,h,3
_,i,6
_,k,5
_,l,6
_,m,2
_,n,3
_,o,4
_,p,3
_,r,6
_,s,16
_,t,4
_,v,5
_,з,1
_,м,1
_,т,1
_,ա,1
a,_,22
a,a,118860
a,b,28454
a,c,6289
a,d,83327
a,e,12194
a,f,4475
a,g,18553
a,h,10586
a,i,24970
a,j,33152
a,k,64307
a,l,181343
a,m,61554
a,n,135474
a,o,3859
a,p,16832
a,q,470
a,r,76713
a,s,152050
a,t,107184
a,u,22648
a,v,38716
a,w,1281
a,x,385
a,y,1961
a,z,1113
a,µ,1
a,ß,17
a,à,1
a,á,5
a,â,2
a,ä,34
a,ç,25
a,é,18
a,ë,31
a,í,17
a,î,2
a,ï,31
a,ð,12
a,ñ,42
a,õ,746
a,ö,21
a,ú,1
a,ü,980
a,þ,1
a,ć,2
a,č,67
a,ĝ,3
a,ğ,11
a,ġ,18
a,ģ,6
a,ī,1
a,ı,2
a,ķ,5
a,ļ,26
a,ł,85
a,ń,43
a,ņ,14
a,ŋ,15
a,ō,1
a,ř,7
a,ś,13
a,ş,18
a,š,221
a,ţ,6
a,ŭ,86
a,ż,13
a,ž,299
a,ǂ,1
a,ǔ,3
a,ǧ,1
a,ɪ,2
a,ɲ,1
a,ɴ,1
a,ɻ,1
a,ʔ,3
a,ʽ,1
a,ː,11
a,ˑ,1
a,β,3
a,λ,1
a,г,2
a,е,3
a,й,2
a,к,2
a,л,1
a,н,1
a,т,1
a,ё,1
a,ḡ,1
a,ḥ,3
a,ḩ,14
a,ṁ,11
a,ṃ,2
a,ṅ,3
a,ṇ,1
a,ṛ,1
a,ṣ,1
a,ṭ,2
b,_,2
b,a,29790
b,b,962
b,c,193
b,d,183
b,e,29070
b,f,58
b,g,39
b,h,158
b,i,18356
b,j,1116
b,k,215
b,l,5308
b,m,326
b,n,1808
b,o,11337
b,p,112
b,r,19352
b,s,1655
b,t,262
b,u,9181
b,v,138
b,w,49
b,x,7
b,y,1088
b,z,28
b,à,10
b,á,88
b,â,13
b,ã,1
b,ä,395
b,å,14
b,æ,19
b,è,20
b,é,251
b,ê,3
b,ë,2
b,ì,1
b,í,12
b,î,1
b,ò,14
b,ó,76
b,ô,8
b,õ,47
b,ö,349
b,ø,30
b,ù,2
b,ú,12
b,û,2
b,ü,989
b,ā,92
b,ă,5
b,č,17
b,ē,81
b,ę,4
b,ě,7
b,ī,62
