0,1,2
_,a,17
_,b,2
_,c,33
_,d,5
_,e,5
_,f,4
_,g,1
_,h,2
_,i,11
_,j,3
_,k,7
_,l,12
_,m,7
_,n,6
_,o,3
_,p,12
_,r,12
_,s,13
_,t,4
_,u,2
_,v,5
_,y,1
_,п,1
a,_,50
a,a,125116
a,b,30243
a,c,4955
a,d,78988
a,e,11476
a,f,3629
a,g,18515
a,h,9315
a,i,25579
a,j,35111
a,k,46553
a,l,173370
a,m,64403
a,n,126961
a,o,5786
a,p,20292
a,q,346
a,r,78709
a,s,145001
a,t,105782
a,u,23275
a,v,42109
a,w,927
a,x,494
a,y,1663
a,z,957
a,ß,28
a,ä,45
a,ç,18
a,é,9
a,ë,52
a,í,16
a,ï,21
a,ð,13
a,ñ,13
a,õ,666
a,ö,17
a,ú,5
a,ü,1046
a,ć,1
a,č,9
a,ğ,3
a,ġ,3
a,ģ,1
a,ī,1
a,ķ,1
a,ļ,3
a,ľ,1
a,ł,53
a,ń,93
a,ņ,3
a,ŋ,4
a,ś,6
a,ş,31
a,š,233
a,ţ,14
a,ŭ,7
a,ż,6
a,ž,417
a,ǧ,1
a,ș,7
a,ț,2
a,ɪ,3
a,ʻ,1
a,ː,1
a,а,1
a,н,1
a,ḑ,2
a,ḥ,1
a,ḩ,54
a,ḷ,11
a,ṇ,1
a,ṉ,3
a,ṭ,1
a,ẕ,1
a,ẖ,2
b,_,9
b,a,29382
b,b,738
b,c,149
b,d,118
b,e,31398
b,f,47
b,g,97
b,h,205
b,i,18015
b,j,885
b,k,192
b,l,5629
b,m,229
b,n,1358
b,o,9233
b,p,72
b,q,3
b,r,17991
b,s,1024
b,t,177
b,u,9446
b,v,58
b,w,58
b,x,9
b,y,928
b,z,20
b,à,9
b,á,30
b,â,7
b,ä,650
b,å,12
b,æ,12
b,é,237
b,ê,2
b,ì,9
b,í,12
b,ò,1
b,ó,16
b,õ,73
b,ö,445
b,ø,56
b,ù,4
b,û,17
b,ü,1483
b,ā,114
b,ă,7
b,ą,1
b,č,1
b,ē,37
b,ė,4
b,ę,4
b,ě,4
b,ī,33
b,ł,7
b,ō,6
b,œ,7
b,ř,13
b,š,2
b,ū,23
b,ż,1
b,ǐ,3
b,ə,10
b,и,2
b,о,3
b,ḩ,3
b,ả,3
b,ở,1
c,_,4
c,a,12095
c,b,295
c,c,884
c,d,603
c,e,5871
c,f,104
c,g,53
c,h,20174
c,i,5101
c,j,14
c,k,4867
c,l,3143
c,m,1663
c,n,87
c,o,13539
c,p,183
c,q,277
c,r,3104
c,s,494
c,t,2576
c,u,2708
c,v,77
c,w,32
c,x,9
c,y,830
c,z,413
c,²,1
c,à,1
c,á,31
c,â,5
c,ã,3
c,ä,30
c,æ,1
c,ç,1
c,è,4
c,é,126
c,ê,2
c,í,20
c,î,1
c,ó,40
c,ô,27
c,ö,20
c,ù,1
c,ú,3
c,ü,2
c,ā,13
c,ă,9
c,ą,3
c,ē,40
c,ī,3
c,ı,4
c,ł,12
c,œ,14
c,ş,1
c,ǎ,6
c,ə,4
c,а,2
c,е,1
c,т,4
c,ъ,1
c,ь,1
c,ả,3
c,ầ,7
c,ỏ,1
d,_,40
d,a,75793
d,b,265
d,c,289
d,d,1047
d,e,71706
d,f,339
d,g,487
d,h,410
d,i,56675
d,j,1356
d,k,615
d,l,3022
d,m,4874
d,n,1456
d,o,11554
d,p,359
d,q,5
d,r,14229
d,s,2568
d,t,1321
d,u,44483
d,v,1439
d,w,702
d,x,43
d,y,569
d,z,331
d,à,32
d,á,17
d,ä,34
d,å,7
d,æ,14
