,0,1,2,3
288,l,z,4526,24
289,l,ä,179475,12
290,l,õ,157640,13
291,l,ö,9396,23
292,l,ü,49938,17
293,l,š,2082,26
294,l,ž,344,27
295,m,a,1484341,1
296,m,b,129015,9
297,m,d,1658,24
298,m,e,721605,3
299,m,f,5656,17
300,m,g,5068,18
301,m,h,3484,21
302,m,i,1219468,2
303,m,j,2561,22
304,m,k,4570,20
305,m,l,7650,16
306,m,m,133429,8
307,m,n,28535,12
308,m,o,247867,5
309,m,p,70341,10
310,m,r,5058,19
311,m,s,27930,13
312,m,t,10585,15
313,m,u,414136,4
314,m,v,1687,23
315,m,z,752,25
316,m,ä,247045,6
317,m,õ,213946,7
318,m,ö,15100,14
319,m,ü,43170,11
320,m,š,342,26
321,m,ž,84,27
322,n,a,875770,3
323,n,b,18795,15
324,n,d,875137,4
325,n,e,1058786,2
326,n,f,15825,16
327,n,g,631103,5
328,n,h,12984,19
329,n,i,1135372,1
330,n,j,8965,22
331,n,k,90177,13
332,n,l,12227,20
333,n,m,5171,23
334,n,n,574268,6
335,n,o,251906,9
336,n,p,3153,24
337,n,r,38852,14
338,n,s,202958,10
339,n,t,298849,8
340,n,u,304731,7
341,n,v,12017,21
342,n,z,14455,18
343,n,ä,150595,11
344,n,õ,99678,12
345,n,ö,2350,25
346,n,ü,15053,17
347,n,š,850,26
348,n,ž,465,27
349,o,a,26117,19
350,o,b,107804,13
351,o,d,195093,8
352,o,e,17119,20
353,o,f,101083,14
354,o,g,183900,9
355,o,h,66436,15
356,o,i,28562,18
357,o,j,55682,16
358,o,k,137905,10
359,o,l,970119,2
360,o,m,385188,6
361,o,n,1413581,1
362,o,o,479809,4
363,o,p,132167,11
364,o,r,800730,3
365,o,s,458505,5
366,o,t,276873,7
367,o,u,32575,17
368,o,v,121557,12
369,o,z,4439,21
370,o,ä,150,26
371,o,õ,50,27
372,o,ö,175,25
373,o,ü,3387,22
374,o,š,1176,23
375,o,ž,893,24
376,p,a,565596,1
377,p,b,1012,22
378,p,d,1901,21
379,p,e,521072,2
380,p,f,4432,19
381,p,g,528,24
382,p,h,44926,14
383,p,i,520074,3
384,p,j,2813,20
385,p,k,11394,16
386,p,l,98517,9
387,p,m,7581,18
388,p,n,10405,17
389,p,o,421465,4
390,p,p,89701,10
391,p,r,354633,5
392,p,s,64726,12
393,p,t,65340,11
394,p,u,248692,6
395,p,v,745,23
396,p,z,490,25
397,p,ä,244115,7
398,p,õ,184367,8
399,p,ö,16913,15
400,p,ü,63951,13
401,p,š,324,26
402,p,ž,2,27
403,r,a,912948,2
404,r,b,59911,17
405,r,d,189090,10
406,r,e,622775,3
407,r,f,14330,23
408,r,g,304886,6
409,r,h,19276,21
410,r,i,1425490,1
411,r,j,227594,8
412,r,k,118555,15
413,r,l,85785,16
414,r,m,163347,13
415,r,n,176678,11
416,r,o,416408,4
417,r,p,31815,20
418,r,r,168882,12
419,r,s,140532,14
420,r,t,327205,5
421,r,u,245509,7
422,r,v,194065,9
423,r,z,9556,25
424,r,ä,32609,19
425,r,õ,18871,22
426,r,ö,9843,24
427,r,ü,50271,18
428,r,š,1250,27
429,r,ž,1389,26
430,s,a,1105582,3
431,s,b,9455,22
432,s,d,5382,25
433,s,e,2254310,2
434,s,f,12041,21
435,s,g,9136,23
436,s,h,61316,15
437,s,i,1031736,4
438,s,j,30033,17
439,s,k,308784,6
440,s,l,138364,11
441,s,m,100580,13
442,s,n,23778,18
443,s,o,295817,7
444,s,p,131135,12
445,s,r,22415,19
446,s,s,293395,8
447,s,t,2803024,1
448,s,u,743014,5
449,s,v,79859,14
450,s,z,8567,24
451,s,ä,30687,16
452,s,õ,186619,10
453,s,ö,12462,20
454,s,ü,206708,9
455,s,š,24,27
456,s,ž,57,26
457,t,a,1767737,2
458,t,b,2540,24
459,t,d,1002,26
460,t,e,2106665,1
461,t,f,2068,25
462,t,g,3615,23
463,t,h,160121,10
464,t,i,801777,4
465,t,j,26003,19
466,t,k,55548,16
467,t,l,115173,13
468,t,m,75649,15
469,t,n,35569,18
470,t,o,545267,5
471,t,p,12554,22
472,t,r,250497,7
473,t,s,535999,6
474,t,t,215142,8
475,t,u,873425,3
476,t,v,22943,20
477,t,z,13197,21
478,t,ä,210327,9
479,t,õ,139328,11
480,t,ö,135352,12
481,t,ü,77700,14
482,t,š,37703,17
483,t,ž,20,27
484,u,a,112460,13
485,u,b,150529,10
486,u,d,889690,2
487,u,e,48911,15
488,u,f,7627,20
489,u,g,129032,11
490,u,h,41504,16
491,u,i,41307,17
492,u,j,35843,18
493,u,k,216670,9
494,u,l,465221,3
495,u,m,294625,7
496,u,n,353504,6
497,u,o,10637,19
498,u,p,74069,14
499,u,r,415286,4
500,u,s,1665993,1
501,u,t,370087,5
502,u,u,258237,8
503,u,v,126074,12
504,u,z,3877,21
505,u,ä,271,26
506,u,õ,2112,23
507,u,ö,82,27
508,u,ü,1530,24
509,u,š,2244,22
510,u,ž,1168,25
511,v,a,1503626,1
512,v,b,367,24
513,v,d,3764,16
514,v,e,494036,3
515,v,f,704,23
516,v,g,5703,14
517,v,h,2043,19
518,v,i,610103,2
519,v,j,3651,18
520,v,k,11813,11
521,v,l,19288,9
522,v,m,1903,20
523,v,n,6335,13
524,v,o,145690,6
525,v,p,1537,22
526,v,r,9886,12
527,v,s,23213,8
528,v,t,3726,17
529,v,u,90303,7
530,v,v,1850,21
531,v,z,217,26
532,v,ä,471073,5
533,v,õ,486992,4
534,v,ö,5413,15
535,v,ü,16322,10
536,v,š,247,25
537,v,ž,41,27
538,z,a,25721,3
539,z,b,1628,15
540,z,d,2202,10
541,z,e,27360,1
542,z,f,234,23
543,z,g,577,20
544,z,h,4226,7
545,z,i,25785,2
546,z,j,407,22
547,z,k,1822,11
548,z,l,1660,14
549,z,m,1735,13
550,z,n,3373,8
551,z,o,12604,4
552,z,p,1767,12
553,z,r,440,21
554,z,s,2378,9
555,z,t,828,18
556,z,u,10472,5
557,z,v,1239,16
558,z,z,5250,6
559,z,ä,157,25
560,z,õ,590,19
561,z,ö,182,24
562,z,ü,1129,17
563,z,š,4,26
564,z,ž,2,27
565,ä,a,653,18
566,ä,b,12841,10
567,ä,d,7155,14
568,ä,e,37194,4
569,ä,f,148,21
570,ä,g,16626,8
571,ä,h,15314,9
572,ä,i,25047,7
573,ä,j,389,20
574,ä,k,11588,11
575,ä,l,31744,5
576,ä,m,5180,16
577,ä,n,76258,2
578,ä,o,8101,12
579,ä,p,1917,17
580,ä,r,181680,1
581,ä,s,25510,6
582,ä,t,7406,13
583,ä,u,449,19
584,ä,v,6367,15
585,ä,z,116,22
586,ä,ä,49605,3
587,ä,ö,1,25
588,ä,ü,6,23
589,ä,š,4,24
590,ä,ž,1,25
591,õ,a,89,22
592,õ,b,788,18
593,õ,d,17859,9
594,õ,e,7735,11
595,õ,f,4,24
596,õ,g,3438,15
597,õ,h,31046,4
598,õ,i,102210,1
599,õ,j,19739,8
600,õ,k,3058,16
601,õ,l,17397,10
602,õ,m,4344,14
603,õ,n,23909,6
604,õ,o,187,21
605,õ,p,89501,2
606,õ,r,20692,7
607,õ,s,4938,12
608,õ,t,46724,3
609,õ,u,27834,5
610,õ,v,657,19
611,õ,z,960,17
612,õ,ä,1,26
613,õ,õ,4897,13
614,õ,ö,2,25
615,õ,ü,1,26
616,õ,š,566,20
617,õ,ž,68,23
618,ö,a,1550,17
619,ö,b,3144,14
620,ö,d,31260,3
621,ö,e,7910,8
622,ö,f,438,19
623,ö,g,6320,10
624,ö,h,742,18
625,ö,i,1844,16
626,ö,j,2332,15
627,ö,k,15870,6
628,ö,l,14633,7
629,ö,m,5062,13
630,ö,n,5310,12
631,ö,o,358,20
632,ö,p,5426,11
633,ö,r,26609,4
634,ö,s,17200,5
635,ö,t,49946,1
636,ö,u,33,24
637,ö,v,7655,9
638,ö,z,201,23
639,ö,ä,21,25
640,ö,õ,242,22
641,ö,ö,41985,2
642,ö,ü,336,21
643,ö,ž,2,26
644,ü,a,8786,12
645,ü,b,5360,14
646,ü,d,36795,6
647,ü,e,1192,17
648,ü,f,1238,16
649,ü,g,6757,13
650,ü,h,182224,2
651,ü,i,112,20
652,ü,j,647,19
653,ü,k,97540,3
654,ü,l,258341,1
655,ü,m,60360,4
656,ü,n,10229,11
657,ü,o,1598,15
658,ü,p,18396,10
659,ü,r,29095,9
660,ü,s,41142,5
661,ü,t,32512,7
662,ü,u,112,20
663,ü,v,1182,18
664,ü,z,52,22
665,ü,ä,6,24
666,ü,õ,57,21
667,ü,ö,6,24
668,ü,ü,29186,8
669,ü,š,33,23
670,ü,ž,4,25
671,š,a,9758,3
672,š,b,54,18
673,š,d,7,25
674,š,e,12078,2
675,š,f,10,24
676,š,g,50,19
677,š,h,125,17
678,š,i,13201,1
679,š,j,156,16
680,š,k,8111,5
681,š,l,1004,10
682,š,m,866,11
683,š,n,1405,9
684,š,o,7892,6
685,š,p,402,13
686,š,r,306,15
687,š,s,47,20
688,š,t,3978,7
689,š,u,2988,8
690,š,v,9143,4
691,š,ä,11,23
692,š,õ,361,14
693,š,ö,19,21
694,š,ü,16,22
695,š,š,471,12
696,š,ž,1,26
