0,1,2
_,_,1
_,a,23
_,b,9
_,c,33
_,d,7
_,e,7
_,f,8
_,g,4
_,h,10
_,i,12
_,k,15
_,l,1
_,m,20
_,n,12
_,o,3
_,p,10
_,q,1
_,r,15
_,s,23
_,t,10
_,u,7
_,v,14
_,w,7
_,x,1
_,y,3
_,z,2
_,ą,2
_,ł,1
_,š,1
_,д,1
_,з,1
a,_,42
a,a,127689
a,b,29759
a,c,5192
a,d,82237
a,e,11503
a,f,4486
a,g,18275
a,h,9228
a,i,29303
a,j,29549
a,k,44168
a,l,189885
a,m,66617
a,n,125415
a,o,3557
a,p,16964
a,q,343
a,r,69685
a,s,147225
a,t,102046
a,u,22443
a,v,40452
a,w,1147
a,x,288
a,y,1496
a,z,1144
a,²,1
a,ß,18
a,ä,44
a,ç,51
a,é,27
a,ë,25
a,í,31
a,î,3
a,ï,28
a,ð,5
a,ñ,27
a,ó,7
a,õ,1572
a,ö,25
a,ù,1
a,ú,8
a,ü,906
a,þ,1
a,č,43
a,đ,1
a,ğ,6
a,ġ,4
a,ģ,7
a,ķ,2
a,ļ,29
a,ľ,1
a,ł,123
a,ń,116
a,ņ,49
a,ř,1
a,ś,20
a,ş,39
a,š,292
a,ţ,5
a,ū,1
a,ŭ,114
a,ż,3
a,ž,420
a,ǔ,1
a,ș,14
a,ț,2
a,ɪ,2
a,ɾ,1
a,ʁ,3
a,ʃ,1
a,ʊ,2
a,ˈ,3
a,ː,7
a,τ,1
a,б,1
a,в,2
a,н,1
a,ḥ,1
a,ḩ,24
a,ḫ,5
a,ḯ,1
a,ṁ,2
a,ṃ,1
a,ṅ,13
a,ṇ,5
a,ṣ,5
a,ṭ,3
b,_,2
b,a,30352
b,b,823
b,c,314
b,d,154
b,e,27678
b,f,34
b,g,85
b,h,286
b,i,16408
b,j,841
b,k,231
b,l,5283
b,m,118
b,n,848
b,o,9587
b,p,71
b,r,20868
b,s,850
b,t,286
b,u,10855
b,v,32
b,w,37
b,x,6
b,y,743
b,z,40
b,á,67
b,â,12
b,ä,432
b,å,4
b,æ,6
b,è,5
b,é,136
b,ê,3
b,ë,9
b,ì,5
b,í,15
b,î,1
b,ò,1
b,ó,15
b,ô,2
b,õ,107
b,ö,537
b,ø,103
b,ù,5
b,ú,6
b,ü,2553
b,ā,177
b,ă,11
b,ą,2
b,č,3
b,ē,174
b,ė,19
b,ę,16
b,ě,4
b,ī,23
b,ļ,6
b,ł,5
b,ō,5
b,œ,3
b,ř,6
b,š,1
b,ū,45
b,ů,1
b,ų,1
b,ż,2
b,ž,3
b,ǎ,2
b,ɒ,1
b,ɔ,1
b,ə,13
b,ɾ,1
b,ʁ,1
b,ˀ,1
b,ː,1
b,ắ,1
c,_,11
c,a,12988
c,b,137
c,c,1053
c,d,400
