0,1,2
g,t,788
g,u,47867
g,v,166
g,w,122
g,x,24
g,y,832
g,z,35
g,à,1
g,á,62
g,â,1
g,ã,1
g,ä,62
g,å,31
g,è,25
g,é,104
g,ê,1
g,ë,2
g,ð,1
g,ó,55
g,ô,1
g,õ,48
g,ö,506
g,ø,4
g,ú,3
g,ü,1823
g,þ,2
g,ā,11
g,ē,2
g,ė,11
g,ę,3
g,ī,15
g,ı,2
g,ļ,13
g,ł,9
g,ŋ,1
g,ō,3
g,ő,1
g,š,2
g,ũ,1
g,ū,7
g,ŭ,2
g,ų,1
g,ž,15
g,ə,7
g,ψ,1
g,型,1
h,_,1
h,a,57251
h,b,144
h,c,121
h,d,632
h,e,62835
h,f,72
h,g,60
h,h,2047
h,i,39254
h,j,8898
h,k,7322
h,l,1851
h,m,3080
h,n,7396
h,o,18976
h,p,187
h,q,18
h,r,1429
h,s,905
h,t,35940
h,u,21979
h,v,9508
h,w,414
h,x,3
h,y,1030
h,z,94
h,à,6
h,á,53
h,â,8
h,ã,1
h,ä,5683
h,å,33
h,æ,3
h,ç,1
h,è,13
h,é,132
h,ê,3
h,ë,2
h,í,5
h,ó,7
h,ô,6
h,õ,2748
h,ö,321
h,ø,18
h,ú,1
h,ü,2559
h,ā,76
h,ă,3
h,ē,7
h,ī,7
h,ı,3
h,ł,7
h,ō,11
h,ŗ,2
h,ş,4
h,š,3
h,ū,17
h,ŭ,1
h,ư,1
h,ǿ,1
h,ə,1
h,δ,2
h,ṛ,1
h,ồ,5
h,₂,2
i,_,18
i,a,78785
i,b,10971
i,c,9980
i,d,111337
i,e,18511
i,f,2058
i,g,45260
i,h,1896
i,i,37631
i,j,7468
i,k,108528
i,l,62380
i,m,72511
i,n,159537
i,o,21355
i,p,7618
i,q,298
i,r,26823
i,s,206259
i,t,106893
i,u,7350
i,v,25031
i,w,228
i,x,562
i,y,96
i,z,885
i,²,37
i,ß,62
i,à,1
i,á,18
i,â,3
i,ã,3
i,ä,73
i,æ,7
i,ç,3
i,è,70
i,é,24
i,ê,4
i,ë,57
i,ñ,15
i,ó,27
i,ô,2
i,õ,1304
i,ö,48
i,ü,431
i,ā,6
i,ą,7
i,ć,123
i,č,96
i,ē,1
i,ę,6
i,ğ,2
i,ķ,8
i,ļ,7
i,ł,16
i,ń,22
i,ņ,173
i,ō,5
i,ś,1
i,ş,9
i,š,286
i,ū,14
i,ų,5
i,ž,91
i,ș,12
i,ț,4
i,ː,3
i,и,2
i,й,2
i,к,4
i,н,1
i,о,1
i,п,3
i,с,1
i,я,3
i,ṭ,7
i,ệ,1
i,ﬁ,1
j,a,196448
j,b,18
j,c,65
j,d,51
j,e,6691
j,f,25
j,g,15
j,h,32
j,i,735
j,j,112
j,k,2359
j,l,40
j,m,679
j,n,717
j,o,14069
j,p,6429
j,q,2
j,r,175
j,s,126
j,t,618
j,u,43917
j,v,25
j,w,6
j,x,3
j,y,85
j,z,14
j,à,2
j,á,51
j,ä,24814
j,å,3
j,æ,2
j,é,37
j,ì,4
j,í,11
j,ó,113
j,ô,1
j,õ,9227
j,ö,115
j,ø,35
j,ú,36
j,ü,1463
j,ā,147
j,ą,5
j,č,2
j,ē,19
j,ė,1
j,ę,3
j,ī,7
j,ō,3
j,š,4
j,ū,20
j,ų,2
j,ɤ,1
j,π,1
j,ạ,1
k,_,1
k,a,193344
k,b,879
k,c,77
k,d,204
k,e,64756
k,f,235
k,g,4636
k,h,1759
k,i,60452
k,j,197
k,k,23260
k,l,13964
k,m,2882
k,n,878
k,o,128401
k,p,605
k,q,4
k,r,18604
k,s,57513
k,t,14476
k,u,119008
k,v,3065
k,w,208
k,x,7
k,y,643
k,z,15
k,º,1
k,á,75
k,â,11
k,ä,11171
k,å,20
k,æ,1
k,ç,1
k,é,36
k,ê,1
k,ë,3
k,í,3
k,ò,1
k,ó,11
k,ô,6
k,õ,17066
k,ö,1814
k,ø,14
k,û,3
k,ü,12701
k,ý,18
k,ā,170
k,č,1
k,ē,4
k,ė,11
k,ę,8
k,ī,8
k,ĭ,2
k,ı,17
k,ļ,13
k,ł,1
k,ō,23
k,ő,9
k,œ,2
k,ŗ,1
k,ř,5
k,ş,2
k,š,43
k,ū,33
k,ů,1
k,ų,1
k,ǣ,1
k,ʰ,20
k,α,2
k,β,1
k,δ,1
k,ε,1
k,π,2
k,ω,2
k,ό,1
k,а,1
k,м,1
k,о,1
k,ḷ,1
k,ḹ,1
k,ṛ,3
k,ṝ,1
k,ṣ,3
k,ẻ,1
l,_,6
l,a,99154
l,b,2029
l,c,745
l,d,23319
l,e,103237
l,f,2437
l,g,20961
l,h,1538
l,i,188315
l,j,28429
l,k,13688
l,l,93114
l,m,27141
l,n,4458
l,o,38106
l,p,1357
l,q,22
l,r,221
l,s,9109
l,t,41517
l,u,33356
l,v,8476
l,w,135
l,x,22
l,y,1536
l,z,375
l,ß,1
l,à,5
l,á,135
l,â,8
l,ã,3
l,ä,16734
l,å,9
l,æ,1
l,ç,14
l,è,25
l,é,273
l,ê,2
l,ë,8
l,í,43
l,ï,2
l,ò,7
l,ó,117
l,ô,3
l,õ,16450
l,ö,777
l,ø,6
l,ù,1
l,ú,10
l,ü,5984
l,ý,3
l,ā,69
l,ă,6
l,č,7
l,ē,20
l,ė,29
l,ę,3
l,ī,69
l,ı,42
l,ō,1
l,ő,8
l,š,187
l,ţ,3
l,ū,10
l,ŭ,2
l,ű,2
l,ų,2
l,ž,15
l,ǎ,1
l,ț,1
l,ɔ,1
l,ə,1
l,ɨ,1
l,ˈ,1
l,ẖ,2
l,ụ,1
m,_,8
m,a,139279
m,b,12771
m,c,719
m,d,174
m,e,72022
m,f,531
m,g,420
m,h,852
m,i,124896
m,j,244
m,k,494
m,l,945
m,m,13144
m,n,3229
m,o,24220
m,p,8100
m,q,17
m,r,513
m,s,2574
m,t,1514
m,u,41025
m,v,111
m,w,156
m,x,35
m,y,915
m,z,73
m,²,83
m,³,35
m,à,8
m,á,261
m,â,17
m,ã,2
m,ä,23216
m,å,31
m,æ,4
m,è,5
m,é,290
m,ê,2
m,ì,2
m,í,28
m,î,1
m,ò,1
m,ó,56
m,ô,2
m,õ,19382
m,ö,1309
m,ø,14
m,ú,1
m,ü,4641
m,ā,129
m,ă,4
m,ą,1
m,č,1
m,ē,64
m,ė,4
m,ę,2
m,ě,28
m,ī,30
m,ı,2
m,ł,2
m,ō,2
m,ś,2
m,ş,3
m,š,30
m,ū,15
m,ŭ,2
m,ů,1
m,ű,2
m,ż,2
m,ž,1
m,ǎ,1
m,ɑ,2
m,ə,9
m,ω,3
m,а,1
m,е,1
m,ệ,1
n,_,7
n,a,88284
n,b,1807
n,c,4341
n,d,87264
n,e,106003
n,f,1498
n,g,63009
n,h,1032
n,i,114693
n,j,700
n,k,8244
n,l,1035
n,m,860
n,n,51361
n,o,24391
n,p,215
n,q,67
n,r,3336
n,s,22482
n,t,30694
n,u,29295
n,v,1385
n,w,195
n,x,123
n,y,1049
n,z,1431
n,²,2
n,º,13
n,à,3
n,á,84
n,â,1
n,ã,17
