0,1,2
_,a,2
_,b,7
_,c,1
_,d,5
_,e,2
_,g,2
_,h,11
_,i,5
_,j,2
_,k,3
_,l,3
_,m,4
_,n,2
_,o,12
_,p,6
_,r,1
_,s,9
_,t,5
_,v,4
_,w,1
_,x,1
_,z,1
a,_,25
a,a,114941
a,b,28858
a,c,4861
a,d,80744
a,e,14614
a,f,3820
a,g,19569
a,h,10389
a,i,28936
a,j,31308
a,k,51992
a,l,172837
a,m,63599
a,n,142599
a,o,4750
a,p,21395
a,q,444
a,r,85154
a,s,155117
a,t,99830
a,u,24358
a,v,41523
a,w,751
a,x,460
a,y,1678
a,z,1178
a,²,1
a,³,1
a,¹,2
a,ß,5
a,á,1
a,ä,54
a,ç,26
a,é,5
a,ë,21
a,í,30
a,î,8
a,ï,22
a,ð,5
a,ñ,36
a,ô,1
a,õ,631
a,ö,21
a,ú,16
a,ü,688
a,ć,3
a,č,28
a,đ,1
a,ĝ,1
a,ğ,14
a,ģ,1
a,ī,2
a,ļ,3
a,ł,70
a,ń,123
a,ņ,9
a,ř,4
a,ś,17
a,ş,45
a,š,557
a,ţ,37
a,ť,1
a,ŭ,29
a,ż,6
a,ž,303
a,ș,3
a,ț,5
a,ɾ,2
a,ʻ,3
a,ˈ,2
a,ː,1
a,α,1
a,θ,1
a,λ,1
a,ς,1
a,к,1
a,л,1
a,м,1
a,п,1
a,т,1
a,у,1
a,ш,1
a,я,2
a,ḍ,1
a,ḑ,7
a,ḥ,3
a,ḩ,39
a,ṃ,1
a,ṅ,2
a,ṇ,5
a,ṣ,4
a,ṭ,4
a,ẓ,1
a,ẖ,3
a,ₓ,5
a,ﬀ,1
b,a,36115
b,b,957
b,c,75
b,d,128
b,e,35991
b,f,30
b,g,32
b,h,402
b,i,16920
b,j,1036
b,k,290
b,l,5409
b,m,235
b,n,1010
b,o,10562
b,p,51
b,q,13
b,r,19351
b,s,998
b,t,128
b,u,10444
b,v,30
b,w,90
b,x,3
b,y,762
b,z,29
b,à,1
b,á,76
b,â,9
b,ã,1
b,ä,228
b,å,6
b,æ,11
b,è,8
b,é,171
b,ê,2
b,ë,7
b,ì,1
b,í,19
b,î,3
b,ó,33
b,ô,3
b,õ,67
b,ö,372
b,ø,29
b,ù,1
b,ú,2
b,û,1
b,ü,1430
b,ý,1
b,ā,177
b,ă,17
b,ą,1
b,č,14
b,ē,28
b,ė,7
b,ę,5
b,ě,6
b,ī,37
b,ļ,1
b,ł,12
b,ō,6
b,ř,10
b,š,2
b,ū,27
b,ů,1
b,ų,1
b,ž,2
b,ǎ,1
b,ə,11
b,ʌ,1
b,ḩ,1
b,ả,2
b,ể,1
c,_,2
c,a,13416
c,b,31
c,c,1187
c,d,221
c,e,5767
c,f,88
c,g,53
c,h,18625
c,i,6169
c,j,17
c,k,3573
c,l,2956
c,m,950
c,n,105
c,o,12515
c,p,91
c,q,426
c,r,2377
c,s,491
c,t,2028
c,u,2413
