,p_letter,s_letter,l_count,l_rank
208,r,ž,505.0,26.0
209,r,t,480160.0,7.0
210,r,u,914464.0,4.0
211,r,v,14773.0,21.0
212,r,õ,173396.0,14.0
213,r,ä,671878.0,5.0
214,r,ö,42135.0,20.0
215,r,ü,100495.0,16.0
216,a,a,2535924.0,3.0
217,a,b,408848.0,17.0
218,a,d,1387729.0,11.0
219,a,e,669255.0,16.0
220,a,f,83166.0,19.0
221,a,g,1115886.0,13.0
222,a,h,761591.0,14.0
223,a,i,1146968.0,12.0
224,a,j,2772501.0,2.0
225,a,k,2211265.0,6.0
226,a,l,1894760.0,7.0
227,a,m,2527932.0,4.0
228,a,n,1612722.0,9.0
229,a,o,51151.0,20.0
230,a,p,731742.0,15.0
231,a,r,1611551.0,10.0
232,a,s,1687210.0,8.0
233,a,š,14962.0,22.0
234,a,z,41319.0,21.0
235,a,ž,12510.0,23.0
236,a,t,3476663.0,1.0
237,a,u,195084.0,18.0
238,a,v,2333578.0,5.0
239,a,õ,195.0,27.0
240,a,ä,686.0,26.0
241,a,ö,1937.0,25.0
242,a,ü,9586.0,24.0
243,n,a,2408806.0,2.0
244,n,b,15806.0,20.0
245,n,d,39173.0,17.0
246,n,e,1811185.0,4.0
247,n,f,3143.0,25.0
248,n,g,73019.0,13.0
249,n,h,64659.0,15.0
250,n,i,2901164.0,1.0
251,n,j,7382.0,23.0
252,n,k,32191.0,18.0
253,n,l,99437.0,11.0
254,n,m,47126.0,16.0
255,n,n,941685.0,5.0
256,n,o,2177499.0,3.0
257,n,p,12742.0,21.0
258,n,r,238683.0,8.0
259,n,s,67928.0,14.0
260,n,š,2148.0,26.0
261,n,z,4539.0,24.0
262,n,ž,1768.0,27.0
263,n,t,80398.0,12.0
264,n,u,871433.0,6.0
265,n,v,18093.0,19.0
266,n,õ,137315.0,10.0
267,n,ä,247607.0,7.0
268,n,ö,12599.0,22.0
269,n,ü,163024.0,9.0
270,e,a,261472.0,16.0
271,e,b,441518.0,14.0
272,e,d,1518655.0,6.0
273,e,e,1935636.0,4.0
274,e,f,102791.0,21.0
275,e,g,692588.0,12.0
276,e,h,931824.0,10.0
277,e,i,337379.0,15.0
278,e,j,211152.0,17.0
279,e,k,933020.0,9.0
280,e,l,2417053.0,3.0
281,e,m,1408610.0,7.0
282,e,n,1870996.0,5.0
283,e,o,117045.0,20.0
284,e,p,681926.0,13.0
285,e,r,1236617.0,8.0
286,e,s,4041303.0,1.0
287,e,š,31815.0,24.0
288,e,z,47025.0,23.0
289,e,ž,7626.0,26.0
290,e,t,3333968.0,2.0
291,e,u,123721.0,19.0
292,e,v,702160.0,11.0
293,e,õ,80042.0,22.0
294,e,ä,186566.0,18.0
295,e,ö,9202.0,25.0
296,e,ü,1901.0,27.0
297,b,a,548681.0,1.0
298,b,b,12428.0,13.0
299,b,d,7811.0,15.0
300,b,e,236660.0,4.0
301,b,f,1105.0,23.0
302,b,g,7480.0,16.0
303,b,h,3035.0,21.0
304,b,i,185483.0,5.0
305,b,j,331.0,25.0
306,b,k,3651.0,20.0
307,b,l,64051.0,8.0
308,b,m,287776.0,2.0
309,b,n,33863.0,11.0
310,b,o,181201.0,6.0
311,b,p,2171.0,22.0
312,b,r,98106.0,7.0
313,b,s,35979.0,10.0
314,b,š,74.0,27.0
315,b,z,4208.0,19.0
316,b,ž,138.0,26.0
317,b,t,5772.0,17.0
318,b,u,268437.0,3.0
319,b,v,626.0,24.0
320,b,õ,20289.0,12.0
321,b,ä,58273.0,9.0
322,b,ö,4488.0,18.0
323,b,ü,12022.0,14.0
324,i,a,907337.0,10.0
325,i,b,331565.0,19.0
326,i,d,1093504.0,8.0
327,i,e,926836.0,9.0
328,i,f,237327.0,20.0
329,i,g,887828.0,12.0
330,i,h,599069.0,16.0
331,i,i,1603941.0,7.0
332,i,j,15457.0,25.0
333,i,k,902387.0,11.0
334,i,l,3516647.0,1.0
335,i,m,2002480.0,5.0
336,i,n,2060760.0,4.0
337,i,o,183201.0,21.0
338,i,p,659001.0,15.0
339,i,r,2795125.0,2.0
340,i,s,1994344.0,6.0
341,i,š,25502.0,23.0
342,i,z,42670.0,22.0
343,i,ž,22168.0,24.0
344,i,t,2075692.0,3.0
345,i,u,373700.0,17.0
346,i,v,853443.0,13.0
347,i,õ,668916.0,14.0
348,i,ä,336440.0,18.0
349,i,ö,10433.0,26.0
350,i,ü,507.0,27.0
351,g,a,472959.0,4.0
352,g,b,674.0,24.0
353,g,d,13191.0,13.0
354,g,e,966687.0,2.0
355,g,f,4541.0,21.0
356,g,g,11924.0,16.0
357,g,h,1079.0,23.0
358,g,i,691358.0,3.0
359,g,j,187.0,25.0
360,g,k,12812.0,15.0
361,g,l,303872.0,7.0
362,g,m,7517.0,19.0
363,g,n,982118.0,1.0
364,g,o,388350.0,6.0
