0,1,2
_,_,3
_,a,15
_,b,13
_,c,9
_,d,5
_,e,6
_,f,4
_,g,4
_,h,1
_,i,8
_,j,4
_,k,12
_,l,11
_,m,8
_,n,3
_,o,6
_,p,14
_,r,4
_,s,9
_,t,9
_,v,3
_,w,1
_,z,1
_,ą,4
_,š,4
_,з,1
_,м,1
a,_,26
a,a,123141
a,b,28115
a,c,5044
a,d,82817
a,e,11778
a,f,3649
a,g,18859
a,h,9807
a,i,29963
a,j,34061
a,k,48995
a,l,183081
a,m,62309
a,n,128553
a,o,3691
a,p,15868
a,q,272
a,r,73741
a,s,149716
a,t,107507
a,u,22440
a,v,42575
a,w,688
a,x,372
a,y,1325
a,z,939
a,ß,6
a,à,6
a,ä,37
a,ç,19
a,é,8
a,ë,25
a,í,40
a,î,1
a,ï,30
a,ð,4
a,ñ,14
a,õ,704
a,ö,18
a,ú,22
a,ü,1226
a,ÿ,1
a,ć,1
a,č,73
a,ğ,27
a,ģ,3
a,ī,1
a,ķ,6
a,ļ,23
a,ł,166
a,ń,199
a,ņ,13
a,ř,2
a,ś,16
a,ş,45
a,š,279
a,ţ,5
a,ť,1
a,ŭ,134
a,ź,2
a,ż,6
a,ž,367
a,ș,10
a,ț,6
a,ʂ,1
a,ʎ,1
a,ˈ,1
a,ː,6
a,ˮ,1
a,ι,2
a,λ,1
a,τ,1
a,к,1
a,я,1
a,ё,4
a,ḏ,1
a,ḑ,3
a,ḩ,24
a,ṅ,1
a,ṇ,1
a,ẓ,1
a,ẖ,1
b,_,1
b,a,29816
b,b,899
b,c,134
b,d,221
b,e,27430
b,f,25
b,g,44
b,h,174
b,i,16625
b,j,1039
b,k,237
b,l,5054
b,m,178
b,n,1076
b,o,9527
b,p,79
b,q,1
b,r,18112
b,s,1410
b,t,239
b,u,11685
b,v,28
b,w,28
b,x,3
b,y,891
b,z,26
b,à,1
b,á,95
b,â,11
b,ä,484
b,å,17
b,æ,5
b,è,7
b,é,256
b,ê,3
b,ë,18
b,ì,2
b,í,8
b,î,1
b,ó,10
b,õ,142
b,ö,216
b,ø,79
b,ü,2057
b,ā,185
b,ă,41
b,ą,6
b,č,2
b,ē,83
b,ė,38
b,ę,3
b,ě,16
b,ī,36
b,ı,1
b,ļ,1
b,ł,14
b,ō,2
b,ő,1
b,œ,4
b,ř,6
b,š,18
b,ū,120
b,ɑ,1
b,ə,5
b,ʰ,1
b,α,2
b,β,1
b,γ,1
b,ḩ,1
b,ả,1
c,_,1
c,a,12569
c,b,129
c,c,878
c,d,628
c,e,5068
c,f,83
c,g,44
c,h,16430
c,i,4793
c,j,33
c,k,3797
c,l,2669
c,m,801
c,n,121
c,o,12066
c,p,133
c,q,266
c,r,2285
c,s,819
c,t,2079
c,u,2012
c,v,92
c,w,9
c,x,15
c,y,790
c,z,505
c,à,1
c,á,92
c,â,32
c,ã,1
c,ä,5
c,æ,1
c,è,1
c,é,76
c,ê,1
c,ë,1
c,í,15
c,î,8
c,ó,35
c,ô,29
c,ö,2
c,ú,2
c,û,1
c,ü,1
c,ā,15
c,ă,50
c,ē,45
c,ī,31
c,ı,30
c,ł,22
c,œ,4
c,ş,4
c,ţ,1
c,ū,1
c,ș,2
c,ə,1
c,в,1
c,о,1
c,р,1
c,ộ,1
d,_,6
d,a,81499
d,b,194
d,c,162
d,d,753
d,e,69101
d,f,323
d,g,754
d,h,356
d,i,56240
d,j,1102
d,k,621
d,l,3817
d,m,3897
d,n,1942
d,o,13232
d,p,277
d,q,12
d,r,12944
d,s,2691
d,t,808
d,u,35899
d,v,1560
d,w,620
d,x,27
d,y,637
d,z,679
d,á,44
d,â,5
d,ã,1
d,ä,28
d,è,18
d,é,121
d,ê,5
d,ë,31
d,ì,2
d,í,62
d,î,4
d,ó,38
d,ô,15
d,õ,63
d,ö,98
d,ø,5
d,ú,7
d,û,2
d,ü,1448
d,ā,37
d,ă,20
d,ą,10
d,č,3
d,ē,12
d,ė,40
d,ę,7
d,ě,12
d,ī,76
d,ı,20
d,ł,3
d,ņ,6
d,ō,17
d,ő,4
d,ř,21
d,š,3
d,ū,40
d,ų,3
d,ź,46
d,ž,846
d,ə,7
d,ɛ,1
d,ʒ,2
d,ḩ,1
d,ḫ,1
e,_,18
e,a,11711
e,b,12128
e,c,3087
e,d,62032
e,e,91716
e,f,2664
e,g,27988
e,h,14903
e,i,39922
e,j,7064
e,k,46940
e,l,127906
e,m,50766
e,n,92598
e,o,4255
e,p,9835
e,q,114
e,r,79241
e,s,144559
e,t,93239
e,u,11465
e,v,33034
e,w,1098
e,x,2273
e,y,1977
e,z,597
e,ß,30
e,á,3
e,ä,135
e,å,17
e,æ,3
e,ç,4
e,é,1
e,í,9
e,ï,4
e,ñ,20
e,ó,13
e,õ,258
e,ö,22
e,ü,327
e,þ,2
e,ć,1
e,č,74
e,ğ,11
e,ģ,4
e,ķ,6
e,ļ,24
e,ł,82
e,ń,25
e,ņ,9
e,ň,13
e,ś,12
e,ş,12
e,š,191
e,ţ,2
e,ŭ,4
e,ź,2
e,ż,4
e,ž,472
e,ș,17
e,ț,5
e,ː,1
e,ˮ,1
e,α,1
e,λ,1
e,п,1
e,с,1
f,_,3
f,a,6322
f,b,50
f,c,1268
f,d,47
f,e,6065
f,f,1423
f,g,64
f,h,63
f,i,16748
f,j,222
f,k,74
f,l,2441
f,m,98
f,n,175
f,o,11555
f,p,72
f,q,1
f,r,9519
f,s,244
f,t,953
f,u,2012
f,v,47
f,w,23
f,x,20
f,y,48
f,z,14
f,à,1
f,á,18
f,ä,149
f,æ,2
f,ç,1
f,è,5
f,é,67
f,ê,1
f,ë,1
f,í,12
f,ð,1
f,ó,4
f,ô,5
f,õ,1
f,ö,409
f,ø,3
f,ú,2
f,ü,2583
f,ý,6
f,þ,5
f,ā,12
f,ă,5
f,č,1
f,ē,1
f,ī,11
f,ı,2
f,ő,2
f,œ,4
f,š,1
f,ə,1
f,α,4
f,β,9
g,_,6
g,a,54121
g,b,411
g,c,62
g,d,478
g,e,40387
g,f,73
g,g,624
g,h,2283
g,i,39047
g,j,167
g,k,1470
g,l,7176
g,m,858
g,n,4781
g,o,44151
g,p,336
g,q,5
g,r,11165
g,s,3106
g,t,727
g,u,45636
g,v,264
g,w,152
g,x,38
g,y,887
g,z,32
g,²,1
g,à,1
g,á,64
g,â,17
g,ä,57
g,å,29
g,æ,1
g,è,43
g,é,107
g,ê,5
g,ë,3
g,ì,1
g,í,10
g,î,3
g,ð,2
g,ò,2
g,ó,54
g,õ,43
g,ö,450
g,ø,1
g,ù,2
g,ú,2
g,ü,1590
g,þ,1
g,ā,30
g,ă,13
g,ą,1
g,ē,1
g,ė,128
g,ī,4
g,ı,2
g,ļ,10
g,ł,5
g,ō,3
g,ŏ,1
g,ő,1
g,š,4
g,ū,11
g,ž,34
g,ʻ,1
g,α,18
h,_,1
h,a,56269
h,b,95
h,c,134
h,d,360
h,e,62240
h,f,46
h,g,50
h,h,2459
h,i,37557
h,j,9729
h,k,6710
h,l,1607
h,m,3109
h,n,5566
h,o,20901
h,p,93
h,q,13
h,r,1394
h,s,537
h,t,35915
h,u,23144
h,v,9217
h,w,468
h,x,11
h,y,1042
h,z,79
h,à,4
h,á,124
h,â,18
h,ä,5872
h,å,75
h,æ,6
h,ç,2
h,è,9
h,é,159
h,ê,4
h,ë,6
h,í,13
h,ó,4
h,ô,16
h,õ,2767
h,ö,238
h,ø,12
h,ú,7
h,ü,3058
h,ý,1
h,ā,41
h,ă,3
h,ē,1
h,ī,13
h,ł,33
h,ō,7
h,ő,7
h,ř,1
h,ū,12
h,ə,4
h,ό,1
h,ḑ,2
h,ḗ,2
h,ọ,1
h,ộ,1
h,₁,6
h,₂,6
h,₃,7
i,_,26
i,a,77535
i,b,11906
i,c,8834
i,d,116268
i,e,18167
i,f,1901
i,g,43201
i,h,1654
i,i,34655
i,j,7466
i,k,104837
i,l,60997
i,m,73824
i,n,149953
i,o,19773
