0,1,2
_,a,25
_,b,7
_,c,12
_,d,16
_,e,9
_,f,4
_,g,8
_,h,3
_,i,23
_,j,4
_,k,11
_,l,11
_,m,13
_,n,7
_,o,11
_,p,14
_,q,1
_,r,6
_,s,12
_,t,9
_,u,3
_,v,5
_,w,4
_,y,3
_,z,1
_,а,2
_,д,1
_,з,6
_,и,1
_,к,1
_,н,1
_,п,3
_,р,2
_,у,1
a,_,46
a,a,120120
a,b,31281
a,c,5144
a,d,85691
a,e,10487
a,f,3954
a,g,18611
a,h,9933
a,i,28356
a,j,32119
a,k,48964
a,l,190264
a,m,64678
a,n,121629
a,o,3958
a,p,16109
a,q,282
a,r,69880
a,s,145582
a,t,108934
a,u,23104
a,v,41672
a,w,922
a,x,404
a,y,1780
a,z,1519
a,µ,1
a,ß,28
a,â,2
a,ä,33
a,ç,14
a,é,3
a,ë,25
a,í,17
a,î,2
a,ï,32
a,ñ,21
a,õ,878
a,ö,15
a,ú,7
a,ü,1090
a,ý,1
a,ÿ,2
a,ć,6
a,č,43
a,ď,1
a,đ,2
a,ğ,10
a,ģ,7
a,ķ,2
a,ļ,39
a,ł,85
a,ń,84
a,ņ,70
a,ř,2
a,ś,8
a,ş,48
a,š,248
a,ţ,11
a,ŭ,46
a,ż,6
a,ž,581
a,ǧ,1
a,ș,7
a,ț,1
a,ɡ,1
a,ɪ,2
a,ʊ,1
a,ʼ,2
a,ː,2
a,ε,4
a,θ,1
a,ρ,1
a,τ,1
a,з,2
a,к,1
a,м,1
a,п,1
a,я,1
a,ḍ,2
a,ḥ,2
a,ḩ,15
a,ṁ,1
a,ṃ,11
a,ṅ,3
a,ṇ,5
a,ṣ,2
a,ṭ,1
b,_,9
b,a,29063
b,b,726
b,c,109
b,d,179
b,e,27580
b,f,74
b,g,53
b,h,252
b,i,17113
b,j,946
b,k,246
b,l,5014
b,m,192
b,n,1512
b,o,9488
b,p,56
b,q,3
b,r,17318
b,s,882
b,t,464
b,u,10348
b,v,40
b,w,19
b,x,2
b,y,851
b,z,34
b,à,1
b,á,113
b,â,6
b,ä,534
b,å,2
b,æ,3
b,è,2
b,é,82
b,ê,2
b,í,17
b,ï,1
b,ó,27
b,õ,128
b,ö,428
b,ø,72
b,ù,4
b,ú,2
b,ü,1198
b,ÿ,1
b,ā,113
b,ă,21
b,č,1
b,ē,88
b,ė,7
b,ę,1
b,ě,2
b,ī,37
b,ı,2
b,ļ,2
b,ł,6
b,ō,3
b,ř,2
b,š,10
b,ū,50
b,ź,1
b,ž,8
b,ǐ,2
b,ə,7
b,ʐ,1
b,ʑ,1
