0,1,2
_,_,2
_,a,6
_,b,3
_,c,4
_,d,9
_,e,2
_,f,6
_,g,5
_,h,3
_,i,6
_,j,3
_,k,9
_,l,4
_,m,1
_,n,3
_,o,4
_,p,5
_,r,6
_,s,14
_,t,9
_,u,2
_,v,8
_,š,2
a,_,50
a,a,116773
a,b,27500
a,c,4412
a,d,74867
a,e,12139
a,f,3695
a,g,20094
a,h,10160
a,i,28582
a,j,30418
a,k,50514
a,l,179573
a,m,63188
a,n,134340
a,o,3828
a,p,19030
a,q,322
a,r,78807
a,s,159364
a,t,100671
a,u,23620
a,v,42916
a,w,1001
a,x,320
a,y,1684
a,z,1361
a,ß,52
a,ä,46
a,ç,11
a,é,17
a,ê,1
a,ë,64
a,í,22
a,î,4
a,ï,23
a,ð,31
a,ñ,28
a,õ,854
a,ö,31
a,ù,2
a,ú,21
a,ü,729
a,þ,3
a,č,18
a,ğ,20
a,ġ,1
a,ģ,1
a,ĩ,2
a,ļ,2
a,ł,104
a,ń,120
a,ņ,10
a,ň,1
a,œ,1
a,ř,3
a,ś,13
a,ş,38
a,š,299
a,ţ,33
a,ŭ,35
a,ż,7
a,ž,336
a,ǔ,6
a,ǧ,1
a,ș,8
a,ț,2
a,ɪ,2
a,ː,3
a,ˑ,1
a,β,1
a,ω,1
a,в,1
a,и,1
a,р,1
a,ḥ,2
a,ḩ,27
a,ṃ,3
a,ṇ,8
a,ṭ,1
a,ẖ,9
a,ﬁ,6
b,_,24
b,a,33034
b,b,885
b,c,102
b,d,199
b,e,30889
b,f,19
b,g,82
b,h,450
b,i,15540
b,j,953
b,k,257
b,l,4920
b,m,147
b,n,1300
b,o,9797
b,p,49
b,q,1
b,r,18043
b,s,1363
b,t,224
b,u,12139
b,v,45
b,w,39
b,x,9
b,y,1151
b,z,37
b,à,4
b,á,79
b,â,7
b,ä,1225
b,å,8
b,æ,10
b,è,1
b,é,122
b,ê,8
b,ë,1
b,ì,2
b,í,35
b,ò,7
b,ó,95
b,ô,4
b,õ,78
b,ö,509
b,ø,75
b,ù,1
b,ú,11
b,û,4
b,ü,1345
b,ý,2
b,ā,135
b,ă,27
b,ą,1
b,č,8
b,ē,27
b,ė,1
b,ę,11
b,ě,8
b,ī,61
b,ł,13
b,ō,3
b,ő,2
b,œ,4
b,ř,5
b,š,7
b,ũ,1
