0,1,2
f,ā,35
f,ă,2
f,ē,2
f,ī,16
f,ı,3
f,ő,1
f,š,4
f,ū,6
f,ŭ,1
f,ǔ,1
f,ɒ,1
f,ɔ,1
f,ə,5
f,ɛ,2
f,α,1
f,ф,1
g,_,9
g,a,69251
g,b,454
g,c,65
g,d,891
g,e,49710
g,f,85
g,g,952
g,h,2217
g,i,48950
g,j,407
g,k,1235
g,l,12039
g,m,1358
g,n,4622
g,o,32605
g,p,357
g,q,50
g,r,15346
g,s,3465
g,t,672
g,u,64831
g,v,345
g,w,238
g,x,26
g,y,953
g,z,43
g,²,1
g,à,1
g,á,35
g,ä,52
g,å,34
g,æ,3
g,è,111
g,é,199
g,ê,4
g,ë,3
g,í,16
g,î,1
g,ò,1
g,ó,108
g,ô,4
g,õ,58
g,ö,602
g,ø,18
g,ù,1
g,ú,6
g,ü,1124
g,ý,1
g,þ,1
g,ā,24
g,ă,3
g,ē,6
g,ė,7
g,ě,1
g,ğ,1
g,ħ,4
g,ī,13
g,ĭ,1
g,ļ,8
g,ł,11
g,ō,14
g,š,5
g,ū,8
g,ŭ,1
g,ž,9
g,ǎ,3
g,ǔ,1
g,ɔ,1
g,ə,9
g,ʻ,3
g,ω,2
g,ỏ,1
h,_,5
h,a,75812
h,b,131
h,c,180
h,d,170
h,e,81283
h,f,149
h,g,68
h,h,3512
h,i,52611
h,j,13038
h,k,9286
h,l,2053
h,m,4443
h,n,6363
h,o,24113
h,p,72
h,q,20
h,r,2478
h,s,778
h,t,45687
h,u,30398
h,v,16582
h,w,588
h,x,2
h,y,1485
h,z,37
h,à,15
h,á,166
h,â,22
h,ã,2
h,ä,7149
h,å,59
h,æ,7
h,è,15
h,é,198
h,ê,15
h,ë,26
h,ì,1
h,í,15
h,î,1
h,ò,1
h,ó,19
h,ô,18
h,õ,4718
h,ö,357
h,ø,75
h,ù,2
h,ú,4
h,û,2
h,ü,4224
h,ý,1
h,ā,102
h,ă,1
h,ą,2
h,ē,14
h,ī,28
h,ĭ,1
h,ı,1
h,ł,7
h,ō,26
h,ő,4
h,ř,3
h,š,90
h,ū,46
h,ư,1
h,ǎ,5
h,ǔ,1
h,ɑ,3
h,ə,9
h,γ,1
h,ν,1
h,ς,1
h,υ,1
h,и,1
h,ạ,3
h,ả,4
h,ồ,17
i,_,10
i,a,77036
i,b,14334
i,c,12061
i,d,149863
i,e,23519
i,f,2518
i,g,59656
i,h,2310
i,i,49061
i,j,7929
i,k,138713
i,l,78471
i,m,93092
i,n,171615
i,o,22731
i,p,11081
i,q,413
i,r,30539
i,s,263326
i,t,124701
i,u,14640
i,v,30076
i,w,442
i,x,1185
i,y,201
i,z,1483
i,ß,53
i,à,8
i,á,75
i,â,1
i,ã,16
